kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
3511177,AGRIBISNIS,61,1516,1519,1206,40,40,36,1178,1169,913,165,140,104,37,48,45,11,16,9,89,100,103,10,15,10,2,2,,,,3,25,26,21,6,5,3,1,1,,2,4,1
3421101,GIZI,48,1012, - , - ,16, - , - ,724,,,132,,,14,,,7,,,101,,,11,,,,,,2,,,16,,,2,,,,,,,,
3511162,AGROTEKNOLOGI,112,1846,2069,1972,111,113,100,1433,1688,1539,205,180,203,17,17,33,2,9,7,159,135,155,5,8,13,2,2,2,,,1,28,42,32,8,11,8,1,1,2,1,3,4
3511123,KEPERAWATAN,40,1784,1510,1327,56,40,32,1196,1030,907,188,129,108,67,61,62,11,15,4,217,192,178,26,11,13,1,7,1,1,1,,6,4,1,5,1,3,2,1,,2,4,
3511131,FARMASI,50,2592,2417,2174,52,40,32,1652,1448,1321,182,171,187,36,28,26,5,5,3,577,610,528,8,6,6,2,6,,1,2,2,22,20,16,19,14,8,7,12,8,5,3,4
3511154,ILMU KELAUTAN,32,696,578,557,26,25,28,579,463,460,49,33,36,13,7,17,5,5,3,38,45,33,2,8,4,,1,,,,,12,13,8,1,1,2,1,,1,3,1,
3512126,BAHASA JEPANG,31,553,530,418,32,30,24,179,166,120,13,14,17,205,194,151,17,17,13,44,47,29,48,43,47,,1,,,,,5,5,4,1,1,1,1,,,1,,
3511115,KESEHATAN MASYARAKAT,60,2189,1851,1580,66,50,40,1691,1452,1251,222,144,124,38,42,30,13,11,1,174,151,137,14,10,6,,,,,,1,16,13,4,9,5,8,,1,,1,1,
3511107,PENDIDIKAN DOKTER,60,4902,4128,3347,62,50,40,4538,3857,3122,364,271,225,,,,,,,,,,,,,,,,5,2,2,57,48,35,43,28,14,24,8,16,31,13,31
3511146,TEKNIK GEOLOGI,30,1000,516,565,30,28,22,856,406,476,54,42,29,7,13,6,1,2,1,71,51,37,3,1,1,,1,,,1,,19,8,17,8,6,2,3,,,,,
3511073,TEKNIK PERTANIAN,51,914,782,722,41,30,24,633,510,463,91,72,76,27,40,45,7,21,9,106,95,84,17,13,19,5,6,2,,,1,14,16,10,2,1,3,2,,1,1,1,1
3511057,MANAJEMEN SUMBERDAYA PERAIRAN,30,545,521,483,28,25,28,441,415,366,47,49,41,8,16,19,1,3,4,36,24,40,3,7,3,,1,,,,,12,6,12,1,1,,,1,,3,1,
